Year,Genre,Percentage
1975,Horror,90.0
1975,Comedy,10.0
1977,Science Fiction,100.0
1978,Musical,100.0
1980,Comedy,100.0
1981,Action/Adventure,100.0
1982,Science Fiction,100.0
1983,Drama,100.0
1984,Comedy,75.0
1984,Fantasy,25.0
1985,Science Fiction,50.0
1985,Action/Adventure,50.0
1986,Action/Adventure,50.0
1986,Comedy,25.0
1986,Drama,25.0
1987,Comedy,100.0
1988,Anime,100.0
1989,Comedy,100.0
1990,Family and Kids,50.0
1990,Fantasy,50.0
1991,Family and Kids,100.0
1992,Drama,100.0
1993,Science Fiction,40.0
1993,Family and Kids,40.0
1993,Comedy,20.0
1994,Drama,75.0
1994,Comedy,25.0
1995,Drama,66.67
1995,Comedy,33.33
1996,Horror,16.67
1996,Action/Adventure,16.67
1996,Family and Kids,16.67
1996,Comedy,16.67
1996,Science Fiction,33.33
1997,Romance,100.0
1999,Thriller,33.33
1999,Family and Kids,66.67
2000,Drama,100.0
2001,Fantasy,33.33
2001,Comedy,33.33
2001,Thriller,33.33
2002,Action/Adventure,78.57
2002,Anime,7.14
2002,Horror,14.29
2003,Action/Adventure,25.0
2003,Family and Kids,50.0
2003,Comedy,25.0
2004,Comedy,50.0
2004,Romance,16.67
2004,Action/Adventure,16.67
2004,Horror,16.67
2005,Fantasy,14.29
2005,Action/Adventure,14.29
2005,Family and Kids,14.29
2005,Drama,28.57
2005,Science Fiction,28.57
2006,Family and Kids,33.33
2006,Musical,33.33
2006,Drama,33.33
2007,Comedy,100.0
2008,Action/Adventure,25.0
2008,Family and Kids,25.0
2008,Musical,25.0
2008,Horror,25.0
2009,Science Fiction,28.57
2009,Action/Adventure,14.29
2009,Horror,14.29
2009,Drama,14.29
2009,Family and Kids,28.57
2010,Science Fiction,20.0
2010,Fantasy,20.0
2010,Action/Adventure,20.0
2010,Family and Kids,40.0
2011,Action/Adventure,50.0
2011,Horror,50.0
2012,Musical,16.67
2012,Action/Adventure,16.67
2012,Comedy,33.33
2012,Fantasy,33.33
2013,Family and Kids,20.0
2013,Drama,20.0
2013,Thriller,20.0
2013,Action/Adventure,40.0
2014,Action/Adventure,28.57
2014,Science Fiction,14.29
2014,Drama,35.71
2014,Horror,7.14
2014,Family and Kids,14.29
2015,Science Fiction,23.53
2015,Family and Kids,41.18
2015,Action/Adventure,17.65
2015,Drama,11.76
2015,Comedy,5.88
2016,Action/Adventure,44.83
2016,Fantasy,3.45
2016,Romance,3.45
2016,Drama,6.9
2016,Family and Kids,20.69
2016,Science Fiction,10.34
2016,Horror,3.45
2016,Thriller,6.9
2017,Action/Adventure,46.67
2017,Horror,6.67
2017,Comedy,6.67
2017,Thriller,6.67
2017,Family and Kids,13.33
2017,Drama,13.33
2017,Science Fiction,6.67
2019,Family and Kids,100.0
2021,Science Fiction,100.0
2023,Family and Kids,100.0
2024,Musical,6.04
2024,Action/Adventure,26.85
2024,Family and Kids,39.6
2024,Horror,8.05
2024,Drama,9.4
2024,Romance,6.04
2024,Comedy,2.68
2024,Thriller,1.34
2025,Action/Adventure,25.71
2025,Family and Kids,57.14
2025,Fantasy,2.86
2025,Comedy,5.71
2025,Science Fiction,2.86
2025,Horror,2.86
2025,Thriller,2.86
